,Date,Bank Rate Value
0,1990-01-01,13.88
1,1990-02-01,13.88
2,1990-03-01,13.88
3,1990-04-01,13.88
4,1990-05-01,13.88
5,1990-06-01,13.88
6,1990-07-01,13.88
7,1990-08-01,13.88
8,1990-09-01,13.88
9,1990-10-01,13.88
10,1990-11-01,13.755
11,1990-12-01,13.63
12,1991-01-01,13.505
13,1991-02-01,13.38
14,1991-03-01,12.38
15,1991-04-01,11.88
16,1991-05-01,11.38
17,1991-06-01,11.13
18,1991-07-01,10.88
19,1991-08-01,10.63
20,1991-09-01,10.38
21,1991-10-01,10.3175
22,1991-11-01,10.255
23,1991-12-01,10.1925
24,1992-01-01,10.13
25,1992-02-01,10.0675
26,1992-03-01,10.005
27,1992-04-01,9.9425
28,1992-05-01,9.88
29,1992-06-01,9.63
30,1992-07-01,9.38
31,1992-08-01,9.13
32,1992-09-01,8.88
33,1992-10-01,7.88
34,1992-11-01,6.88
35,1992-12-01,6.38
36,1993-01-01,5.88
37,1993-02-01,5.83
38,1993-03-01,5.78
39,1993-04-01,5.73
40,1993-05-01,5.68
41,1993-06-01,5.63
42,1993-07-01,5.58
43,1993-08-01,5.53
44,1993-09-01,5.48
45,1993-10-01,5.43
46,1993-11-01,5.38
47,1993-12-01,5.296666666666667
48,1994-01-01,5.213333333333333
49,1994-02-01,5.13
50,1994-03-01,5.201428571428571
51,1994-04-01,5.272857142857143
52,1994-05-01,5.344285714285714
53,1994-06-01,5.4157142857142855
54,1994-07-01,5.487142857142857
55,1994-08-01,5.558571428571429
56,1994-09-01,5.63
57,1994-10-01,5.796666666666667
58,1994-11-01,5.963333333333333
59,1994-12-01,6.13
60,1995-01-01,6.38
61,1995-02-01,6.63
62,1995-03-01,6.605
63,1995-04-01,6.58
64,1995-05-01,6.555
65,1995-06-01,6.53
66,1995-07-01,6.505
67,1995-08-01,6.48
68,1995-09-01,6.455
69,1995-10-01,6.43
70,1995-11-01,6.405
71,1995-12-01,6.38
72,1996-01-01,6.13
73,1996-02-01,6.035
74,1996-03-01,5.94
75,1996-04-01,5.856666666666667
76,1996-05-01,5.773333333333333
77,1996-06-01,5.69
78,1996-07-01,5.7525
79,1996-08-01,5.815
80,1996-09-01,5.8775
81,1996-10-01,5.94
82,1996-11-01,5.984285714285715
83,1996-12-01,6.0285714285714285
84,1997-01-01,6.072857142857143
85,1997-02-01,6.117142857142857
86,1997-03-01,6.161428571428572
87,1997-04-01,6.2057142857142855
88,1997-05-01,6.25
89,1997-06-01,6.5
90,1997-07-01,6.75
91,1997-08-01,7.0
92,1997-09-01,7.083333333333333
93,1997-10-01,7.166666666666667
94,1997-11-01,7.25
95,1997-12-01,7.285714285714286
96,1998-01-01,7.321428571428571
97,1998-02-01,7.357142857142857
98,1998-03-01,7.392857142857143
99,1998-04-01,7.428571428571429
100,1998-05-01,7.464285714285714
101,1998-06-01,7.5
102,1998-07-01,7.4375
103,1998-08-01,7.375
104,1998-09-01,7.3125
105,1998-10-01,7.25
106,1998-11-01,6.75
107,1998-12-01,6.25
108,1999-01-01,6.0
109,1999-02-01,5.5
110,1999-03-01,5.375
111,1999-04-01,5.25
112,1999-05-01,5.125
113,1999-06-01,5.0
114,1999-07-01,5.083333333333333
115,1999-08-01,5.166666666666667
116,1999-09-01,5.25
117,1999-10-01,5.375
118,1999-11-01,5.5
119,1999-12-01,5.625
120,2000-01-01,5.75
121,2000-02-01,6.0
122,2000-03-01,5.979166666666667
123,2000-04-01,5.958333333333333
124,2000-05-01,5.9375
125,2000-06-01,5.916666666666667
126,2000-07-01,5.895833333333333
127,2000-08-01,5.875
128,2000-09-01,5.854166666666667
129,2000-10-01,5.833333333333333
130,2000-11-01,5.8125
131,2000-12-01,5.791666666666667
132,2001-01-01,5.770833333333333
133,2001-02-01,5.75
134,2001-03-01,5.625
135,2001-04-01,5.5
136,2001-05-01,5.25
137,2001-06-01,5.166666666666667
138,2001-07-01,5.083333333333333
139,2001-08-01,5.0
140,2001-09-01,4.75
141,2001-10-01,4.5
142,2001-11-01,4.0
143,2001-12-01,3.983333333333333
144,2002-01-01,3.966666666666667
145,2002-02-01,3.95
146,2002-03-01,3.933333333333333
147,2002-04-01,3.9166666666666665
148,2002-05-01,3.9
149,2002-06-01,3.883333333333333
150,2002-07-01,3.8666666666666663
151,2002-08-01,3.85
152,2002-09-01,3.8333333333333335
153,2002-10-01,3.816666666666667
154,2002-11-01,3.8
155,2002-12-01,3.783333333333333
156,2003-01-01,3.7666666666666666
157,2003-02-01,3.75
158,2003-03-01,3.7
159,2003-04-01,3.65
160,2003-05-01,3.6
161,2003-06-01,3.55
162,2003-07-01,3.5
163,2003-08-01,3.5625
164,2003-09-01,3.625
165,2003-10-01,3.6875
166,2003-11-01,3.75
167,2003-12-01,3.8333333333333335
168,2004-01-01,3.9166666666666665
169,2004-02-01,4.0
170,2004-03-01,4.083333333333333
171,2004-04-01,4.166666666666667
172,2004-05-01,4.25
173,2004-06-01,4.5
174,2004-07-01,4.625
175,2004-08-01,4.75
176,2004-09-01,4.729166666666667
177,2004-10-01,4.708333333333333
178,2004-11-01,4.6875
179,2004-12-01,4.666666666666667
180,2005-01-01,4.645833333333333
181,2005-02-01,4.625
182,2005-03-01,4.604166666666667
183,2005-04-01,4.583333333333333
184,2005-05-01,4.5625
185,2005-06-01,4.541666666666667
186,2005-07-01,4.520833333333333
187,2005-08-01,4.5
188,2005-09-01,4.520833333333333
189,2005-10-01,4.541666666666667
190,2005-11-01,4.5625
191,2005-12-01,4.583333333333333
192,2006-01-01,4.604166666666667
193,2006-02-01,4.625
194,2006-03-01,4.645833333333333
195,2006-04-01,4.666666666666667
196,2006-05-01,4.6875
197,2006-06-01,4.708333333333333
198,2006-07-01,4.729166666666667
199,2006-08-01,4.75
200,2006-09-01,4.833333333333333
201,2006-10-01,4.916666666666667
202,2006-11-01,5.0
203,2006-12-01,5.125
204,2007-01-01,5.25
205,2007-02-01,5.3125
206,2007-03-01,5.375
207,2007-04-01,5.4375
208,2007-05-01,5.5
209,2007-06-01,5.625
210,2007-07-01,5.75
211,2007-08-01,5.7
212,2007-09-01,5.65
213,2007-10-01,5.6
214,2007-11-01,5.55
215,2007-12-01,5.5
216,2008-01-01,5.375
217,2008-02-01,5.25
218,2008-03-01,5.125
219,2008-04-01,5.0
220,2008-05-01,4.916666666666667
221,2008-06-01,4.833333333333333
222,2008-07-01,4.75
223,2008-08-01,4.666666666666667
224,2008-09-01,4.583333333333333
225,2008-10-01,4.5
226,2008-11-01,3.0
227,2008-12-01,2.0
228,2009-01-01,1.5
229,2009-02-01,1.0
230,2009-03-01,0.5
231,2009-04-01,0.497191011235955
232,2009-05-01,0.4943820224719101
233,2009-06-01,0.4915730337078651
234,2009-07-01,0.4887640449438202
235,2009-08-01,0.4859550561797753
236,2009-09-01,0.4831460674157303
237,2009-10-01,0.4803370786516854
238,2009-11-01,0.4775280898876404
239,2009-12-01,0.4747191011235955
240,2010-01-01,0.4719101123595505
241,2010-02-01,0.4691011235955056
242,2010-03-01,0.4662921348314607
243,2010-04-01,0.4634831460674157
244,2010-05-01,0.4606741573033708
245,2010-06-01,0.4578651685393258
246,2010-07-01,0.4550561797752809
247,2010-08-01,0.4522471910112359
248,2010-09-01,0.449438202247191
249,2010-10-01,0.446629213483146
250,2010-11-01,0.4438202247191011
251,2010-12-01,0.4410112359550562
252,2011-01-01,0.4382022471910112
253,2011-02-01,0.4353932584269663
254,2011-03-01,0.4325842696629213
255,2011-04-01,0.4297752808988764
256,2011-05-01,0.4269662921348314
257,2011-06-01,0.4241573033707865
258,2011-07-01,0.4213483146067416
259,2011-08-01,0.4185393258426966
260,2011-09-01,0.4157303370786517
261,2011-10-01,0.4129213483146067
262,2011-11-01,0.4101123595505618
263,2011-12-01,0.4073033707865168
264,2012-01-01,0.4044943820224719
265,2012-02-01,0.401685393258427
266,2012-03-01,0.398876404494382
267,2012-04-01,0.3960674157303371
268,2012-05-01,0.3932584269662921
269,2012-06-01,0.3904494382022472
270,2012-07-01,0.3876404494382022
271,2012-08-01,0.3848314606741573
272,2012-09-01,0.3820224719101123
273,2012-10-01,0.3792134831460674
274,2012-11-01,0.3764044943820225
275,2012-12-01,0.3735955056179775
276,2013-01-01,0.3707865168539326
277,2013-02-01,0.3679775280898876
278,2013-03-01,0.3651685393258427
279,2013-04-01,0.3623595505617977
280,2013-05-01,0.3595505617977528
281,2013-06-01,0.3567415730337079
282,2013-07-01,0.3539325842696629
283,2013-08-01,0.351123595505618
284,2013-09-01,0.348314606741573
285,2013-10-01,0.3455056179775281
286,2013-11-01,0.3426966292134831
287,2013-12-01,0.3398876404494382
288,2014-01-01,0.3370786516853932
289,2014-02-01,0.3342696629213483
290,2014-03-01,0.3314606741573034
291,2014-04-01,0.3286516853932584
292,2014-05-01,0.3258426966292135
293,2014-06-01,0.3230337078651685
294,2014-07-01,0.3202247191011236
295,2014-08-01,0.3174157303370786
296,2014-09-01,0.3146067415730337
297,2014-10-01,0.3117977528089888
298,2014-11-01,0.3089887640449438
299,2014-12-01,0.3061797752808989
300,2015-01-01,0.3033707865168539
301,2015-02-01,0.300561797752809
302,2015-03-01,0.297752808988764
303,2015-04-01,0.2949438202247191
304,2015-05-01,0.2921348314606741
305,2015-06-01,0.2893258426966292
306,2015-07-01,0.2865168539325843
307,2015-08-01,0.2837078651685393
308,2015-09-01,0.2808988764044944
309,2015-10-01,0.2780898876404494
310,2015-11-01,0.2752808988764045
311,2015-12-01,0.2724719101123595
312,2016-01-01,0.2696629213483146
313,2016-02-01,0.2668539325842697
314,2016-03-01,0.2640449438202247
315,2016-04-01,0.2612359550561798
316,2016-05-01,0.2584269662921348
317,2016-06-01,0.2556179775280899
318,2016-07-01,0.2528089887640449
319,2016-08-01,0.25
320,2016-09-01,0.2666666666666666
321,2016-10-01,0.2833333333333333
322,2016-11-01,0.3
323,2016-12-01,0.3166666666666666
324,2017-01-01,0.3333333333333333
325,2017-02-01,0.35
326,2017-03-01,0.3666666666666667
327,2017-04-01,0.3833333333333333
328,2017-05-01,0.4
329,2017-06-01,0.4166666666666666
330,2017-07-01,0.4333333333333333
331,2017-08-01,0.45
332,2017-09-01,0.4666666666666667
333,2017-10-01,0.4833333333333333
334,2017-11-01,0.5
335,2017-12-01,0.5277777777777778
336,2018-01-01,0.5555555555555556
337,2018-02-01,0.5833333333333334
338,2018-03-01,0.6111111111111112
339,2018-04-01,0.6388888888888888
340,2018-05-01,0.6666666666666666
341,2018-06-01,0.6944444444444444
342,2018-07-01,0.7222222222222222
343,2018-08-01,0.75
344,2018-09-01,0.7157894736842105
345,2018-10-01,0.6815789473684211
346,2018-11-01,0.6473684210526316
347,2018-12-01,0.6131578947368421
348,2019-01-01,0.5789473684210527
349,2019-02-01,0.5447368421052632
350,2019-03-01,0.5105263157894737
351,2019-04-01,0.4763157894736842
352,2019-05-01,0.4421052631578947
353,2019-06-01,0.4078947368421052
354,2019-07-01,0.3736842105263158
355,2019-08-01,0.3394736842105262
356,2019-09-01,0.3052631578947368
357,2019-10-01,0.2710526315789473
358,2019-11-01,0.2368421052631578
359,2019-12-01,0.2026315789473683
360,2020-01-01,0.1684210526315789
361,2020-02-01,0.1342105263157894
362,2020-03-01,0.1
363,2020-04-01,0.1071428571428571
364,2020-05-01,0.1142857142857143
365,2020-06-01,0.1214285714285714
366,2020-07-01,0.1285714285714286
367,2020-08-01,0.1357142857142857
368,2020-09-01,0.1428571428571428
369,2020-10-01,0.15
370,2020-11-01,0.1571428571428571
371,2020-12-01,0.1642857142857142
372,2021-01-01,0.1714285714285714
373,2021-02-01,0.1785714285714285
374,2021-03-01,0.1857142857142857
375,2021-04-01,0.1928571428571428
0,2021-04-30,8.828121185302734
1,2021-05-31,8.896035194396973
2,2021-06-30,8.950490951538086
3,2021-07-31,8.997986793518066
4,2021-08-31,9.035208702087402
5,2021-09-30,9.067840576171875
6,2021-10-31,9.087651252746582
7,2021-11-30,9.102826118469238
8,2021-12-31,9.107367515563965
9,2022-01-31,9.10757064819336
10,2022-02-28,9.093547821044922
11,2022-03-31,9.068498611450195
12,2022-04-30,9.048094749450684
13,2022-05-31,9.031451225280762
14,2022-06-30,9.026665687561035
15,2022-07-31,9.054244041442871
16,2022-08-31,9.100309371948242
17,2022-09-30,9.157285690307617
18,2022-10-31,9.225767135620117
19,2022-11-30,9.30093765258789
20,2022-12-31,9.375336647033691
21,2023-01-31,9.442489624023438
22,2023-02-28,9.516053199768066
23,2023-03-31,9.597270011901855
